i,counter,word
1472, 77, blow
1473, 76, causes
1474, 76, settled
1475, 76, goes
1476, 76, instructions
1477, 76, clothes
1478, 76, reading
1479, 76, spirits
1480, 76, race
1481, 76, principal
1482, 76, announced
1483, 76, consideration
1484, 76, slaves
1485, 76, connected
1486, 76, quartermaster
1487, 76, expedition
1488, 76, faces
1489, 76, opposition
1490, 76, nupkins
1491, 75, watched
1492, 75, aunt
1493, 75, compliance
1494, 75, columbia
1495, 75, sword
1496, 75, aware
1497, 75, obliged
1498, 75, vith
1499, 75, stated
1500, 75, hotel
1501, 75, commanders
1502, 75, thin
1503, 75, traveller
1504, 75, familiar
1505, 75, tea
1506, 75, employed
1507, 75, inductive
1508, 75, energy
1509, 74, servants
1510, 74, stout
1511, 74, companion
1512, 74, yard
1513, 74, rushed
1514, 74, afford
1515, 74, imagine
1516, 74, failed
1517, 74, connexion
1518, 74, slocum
1519, 74, quarters
1520, 74, promptly
1521, 74, illustration
1522, 74, lot
1523, 74, tale
1524, 74, batteries
1525, 74, addressed
1526, 74, wait
1527, 74, relieved
1528, 74, chaise
1529, 74, alive
1530, 73, spoken
1531, 73, phrase
1532, 73, century
1533, 73, relations
1534, 73, moon
1535, 73, winter
1536, 73, bearing
1537, 73, entrance
1538, 73, secret
1539, 73, spent
1540, 73, wholly
1541, 73, path
1542, 73, gentle
1543, 73, negative
1544, 73, properly
1545, 73, join
1546, 73, preparations
1547, 73, pray
1548, 73, consequence
1549, 73, stairs
1550, 73, committee
1551, 73, magistrate
1552, 73, share
1553, 73, particularly
1554, 72, honour
1555, 72, shape
1556, 72, shore
1557, 72, knowing
1558, 72, play
1559, 72, families
1560, 72, prepare
1561, 72, broke
1562, 72, pine
1563, 72, lawyer
1564, 72, contact
1565, 72, personally
1566, 72, shop
1567, 72, pieces
1568, 72, shut
1569, 72, concerning
1570, 72, voices
1571, 72, forget
1572, 72, calling
1573, 71, needed
1574, 71, address
1575, 71, rome
1576, 71, worth
1577, 71, etext
1578, 71, concept
1579, 71, whence
1580, 71, unknown
1581, 71, silver
1582, 71, lee
1583, 71, sunday
1584, 71, profound
1585, 71, shouted
1586, 71, louisiana
1587, 71, promised
1588, 71, takes
1589, 71, pride
1590, 71, decided
1591, 71, burned
1592, 71, exercise
1593, 71, aside
1594, 71, dress
1595, 71, england
1596, 71, odd
1597, 71, astonished
1598, 71, headed
1599, 71, curiosity
1600, 71, quick
1601, 71, disposed
1602, 71, practice
1603, 71, happiness
1604, 71, june
1605, 70, cylinder
1606, 70, bless
1607, 70, larger
1608, 70, citizens
1609, 70, believed
1610, 70, glance
1611, 70, thirteenth
1612, 70, comfortable
1613, 70, greatest
1614, 70, deeply
1615, 70, understanding
1616, 70, morgan
1617, 70, error
1618, 70, daughter
1619, 70, capture
1620, 70, surrender
1621, 70, push
1622, 70, monterey
1623, 70, gunboats
1624, 70, principles
1625, 70, mark
1626, 70, junction
1627, 70, syllogistic
1628, 70, apply
1629, 69, working
1630, 69, lane
1631, 69, widow
1632, 69, constant
1633, 69, leaves
1634, 69, flight
1635, 69, promise
1636, 69, ahead
1637, 69, starting
1638, 69, railroads
1639, 69, suit
1640, 69, card
1641, 69, served
