i,counter,word
1548, 198, imagination
1549, 198, colour
1550, 198, narrow
1551, 198, growth
1552, 198, rank
1553, 198, waters
1554, 197, journey
1555, 197, weight
1556, 197, walking
1557, 197, parties
1558, 197, pure
1559, 197, distinguished
1560, 197, evident
1561, 197, ear
1562, 197, stairs
1563, 197, terror
1564, 196, bearing
1565, 196, escaped
1566, 196, angry
1567, 196, prison
1568, 196, wounded
1569, 196, concerning
1570, 196, native
1571, 196, differences
1572, 195, golden
1573, 195, johnston
1574, 195, station
1575, 195, earl
1576, 195, breast
1577, 195, legal
1578, 195, infinite
1579, 195, social
1580, 195, stated
1581, 195, talked
1582, 194, sake
1583, 194, watched
1584, 194, relief
1585, 194, striking
1586, 194, questions
1587, 194, sword
1588, 194, scattered
1589, 194, truly
1590, 194, takes
1591, 194, mad
1592, 194, permitted
1593, 194, offer
1594, 194, aside
1595, 193, needed
1596, 193, satisfaction
1597, 193, compliance
1598, 193, mental
1599, 193, pale
1600, 193, decided
1601, 193, pieces
1602, 193, paused
1603, 193, catch
1604, 192, causes
1605, 192, drive
1606, 192, vicksburg
1607, 192, yesterday
1608, 192, practice
1609, 191, intended
1610, 191, shape
1611, 191, writer
1612, 191, game
1613, 191, v
1614, 191, summer
1615, 190, ocean
1616, 190, pair
1617, 190, sooner
1618, 190, collection
1619, 190, soft
1620, 190, edge
1621, 189, grass
1622, 189, supply
1623, 189, circumstance
1624, 189, assistance
1625, 189, mile
1626, 189, aged
1627, 188, martian
1628, 188, tribes
1629, 188, additional
1630, 188, sunday
1631, 188, enter
1632, 188, worthy
1633, 188, workers
1634, 188, whenever
1635, 187, revelation
1636, 187, sought
